stage,direction,rank,gene,log_fold_change,adjusted_p_value,gene_class,interpretable,recurrence_n_stages
22nd week post-fertilization stage,airway_top,15,ENSG00000258752,11.047365188598633,3.407540915905736e-113,unannotated,False,0
22nd week post-fertilization stage,airway_top,16,CIMAP3,6.939489841461182,4.7785094954333584e-113,biological,True,1
22nd week post-fertilization stage,airway_top,17,CFAP276,10.771472930908203,1.3272852369886415e-112,biological,True,2
22nd week post-fertilization stage,airway_top,18,CETN2,4.172922134399414,1.9721608281036806e-112,biological,True,1
22nd week post-fertilization stage,airway_top,19,TMEM190,10.930625915527344,4.324336319216016e-112,biological,True,1
22nd week post-fertilization stage,airway_top,20,SPACA9,6.289660453796387,1.6918207075787227e-111,biological,True,2
22nd week post-fertilization stage,alveolar_top,1,MYL9,4.30142068862915,1.4603236310856746e-140,biological,True,4
22nd week post-fertilization stage,alveolar_top,2,CLIC3,4.73193883895874,9.817864022484388e-138,biological,True,4
22nd week post-fertilization stage,alveolar_top,3,SPARC,4.249842643737793,5.855858189218574e-125,biological,True,3
22nd week post-fertilization stage,alveolar_top,4,RPS8,1.3277169466018677,3.3592677206416224e-120,ribosomal,False,0
22nd week post-fertilization stage,alveolar_top,5,RPS18,1.6980514526367188,4.604474596738302e-118,ribosomal,False,0
22nd week post-fertilization stage,alveolar_top,6,RPL5,1.6664694547653198,1.9061323329209072e-116,ribosomal,False,0
22nd week post-fertilization stage,alveolar_top,7,RACK1,1.5046474933624268,2.91748141133576e-116,housekeeping,False,0
22nd week post-fertilization stage,alveolar_top,8,SERPINH1,3.392658948898315,3.4971155767845306e-116,biological,True,1
22nd week post-fertilization stage,alveolar_top,9,SMARCA5,2.6561062335968018,3.848074640620958e-115,biological,True,4
22nd week post-fertilization stage,alveolar_top,10,AGER,5.203696250915527,1.054091395645766e-113,biological,True,4
22nd week post-fertilization stage,alveolar_top,11,RPL7A,1.3267483711242676,5.758879498710339e-113,ribosomal,False,0
22nd week post-fertilization stage,alveolar_top,12,RPL37,1.5154069662094116,8.46279771451353e-113,ribosomal,False,0
22nd week post-fertilization stage,alveolar_top,13,RPL39,1.3422192335128784,7.723213126515388e-112,ribosomal,False,0
22nd week post-fertilization stage,alveolar_top,14,RPL24,1.266268014907837,1.2213827314261633e-111,ribosomal,False,0
22nd week post-fertilization stage,alveolar_top,15,RPS12,2.370098114013672,1.7617371915686446e-111,ribosomal,False,0
22nd week post-fertilization stage,alveolar_top,16,ZFAS1,2.269280433654785,3.626770660077725e-111,housekeeping,False,0
22nd week post-fertilization stage,alveolar_top,17,RPS28,1.179868221282959,9.643110009803778e-111,ribosomal,False,0
22nd week post-fertilization stage,alveolar_top,18,RPS3,1.6288594007492063,5.810924814312383e-109,ribosomal,False,0
22nd week post-fertilization stage,alveolar_top,19,RPS7,1.1432461738586426,2.804413254494942e-108,ribosomal,False,0
22nd week post-fertilization stage,alveolar_top,20,TMSB10,1.994700908660889,3.1427298837169364e-108,housekeeping,False,0
