stage,direction,rank,gene,log_fold_change,adjusted_p_value,gene_class,interpretable,recurrence_n_stages
16th week post-fertilization stage,airway_top,8,JUND,1.9125066995620728,0.0213120507673566,biological,True,1
16th week post-fertilization stage,airway_top,9,DMD,1.5152631998062134,0.029353140684551395,biological,True,4
16th week post-fertilization stage,airway_top,10,RBMS3,1.4093183279037476,0.0392701689131528,biological,True,2
16th week post-fertilization stage,airway_top,11,NTN1,2.401695728302002,0.0521200418132875,biological,True,5
16th week post-fertilization stage,airway_top,12,RPLP1,1.219718098640442,0.09158137023805535,biological,True,1
16th week post-fertilization stage,airway_top,13,ALCAM,1.2431179285049438,0.1021259213186305,biological,True,5
16th week post-fertilization stage,airway_top,14,RPS11,1.221181035041809,0.12854227506497426,ribosomal,False,0
16th week post-fertilization stage,airway_top,15,BTG2,2.3167433738708496,0.14381623436841293,biological,True,1
16th week post-fertilization stage,airway_top,16,GSTP1,1.347839117050171,0.16338450846571348,biological,True,2
16th week post-fertilization stage,airway_top,17,ZFP36L1,1.3106659650802612,0.17031201845260216,biological,True,3
16th week post-fertilization stage,airway_top,18,LMO7,1.3697408437728882,0.23537691466089014,biological,True,1
16th week post-fertilization stage,airway_top,19,EGR1,2.259655475616455,0.23641239836662198,biological,True,1
16th week post-fertilization stage,airway_top,20,HNRNPA2B1,1.3377420902252197,0.25624607557942203,biological,True,1
16th week post-fertilization stage,alveolar_top,1,SOX9,9.5140962600708,9.393610570737856e-224,biological,True,5
16th week post-fertilization stage,alveolar_top,2,SFTPC,2.565300464630127,1.4572660413750484e-37,biological,True,5
16th week post-fertilization stage,alveolar_top,3,NPC2,1.9381769895553589,4.433782500517486e-19,biological,True,4
16th week post-fertilization stage,alveolar_top,4,ETV5,1.65964937210083,2.600835288301667e-13,biological,True,5
16th week post-fertilization stage,alveolar_top,5,ATP11A,1.4147825241088867,2.3312783907349226e-10,biological,True,5
16th week post-fertilization stage,alveolar_top,6,WIF1,1.493420958518982,1.1766808248145477e-09,biological,True,3
16th week post-fertilization stage,alveolar_top,7,DLG2,1.4479451179504395,1.1766808248145477e-09,biological,True,4
16th week post-fertilization stage,alveolar_top,8,WWC1,1.2981983423233032,2.34653841526744e-07,biological,True,2
16th week post-fertilization stage,alveolar_top,9,HNRNPA1,1.2414238452911377,4.694842430597177e-07,housekeeping,False,0
16th week post-fertilization stage,alveolar_top,10,GAPDH,1.2472656965255737,4.694842430597177e-07,housekeeping,False,0
16th week post-fertilization stage,alveolar_top,11,SLC34A2,1.4839924573898315,6.653127659298692e-07,biological,True,5
16th week post-fertilization stage,alveolar_top,12,SLC4A4,1.3309229612350464,4.843240315798562e-06,biological,True,4
16th week post-fertilization stage,alveolar_top,13,PIK3C2G,1.3142297267913818,6.830317707370771e-06,biological,True,4
16th week post-fertilization stage,alveolar_top,14,RPLP2,1.1698367595672607,1.1747885700744593e-05,biological,True,1
16th week post-fertilization stage,alveolar_top,15,TPPP3,1.7214356660842896,1.550595560860335e-05,biological,True,4
16th week post-fertilization stage,alveolar_top,16,SEL1L3,1.3042711019515991,1.733902978603686e-05,biological,True,5
16th week post-fertilization stage,alveolar_top,17,CCSER1,1.31186842918396,1.9461863226427394e-05,biological,True,2
16th week post-fertilization stage,alveolar_top,18,COL11A1,1.7654167413711548,2.325419538115688e-05,biological,True,3
16th week post-fertilization stage,alveolar_top,19,FAM184A,1.2381949424743652,2.596017957045699e-05,biological,True,2
16th week post-fertilization stage,alveolar_top,20,FOXP2,1.041683316230774,2.662495490113131e-05,biological,True,3
17th week post-fertilization stage,airway_top,1,SOX2,9.871688842773438,1.2696825218488203e-133,biological,True,5
17th week post-fertilization stage,airway_top,2,SCGB3A2,4.296117305755615,6.112652567743644e-26,biological,True,5
17th week post-fertilization stage,airway_top,3,H19,2.219792366027832,2.8724419972593945e-15,biological,True,5
17th week post-fertilization stage,airway_top,4,JUN,1.8500545024871826,1.7200338447503017e-10,biological,True,5
17th week post-fertilization stage,airway_top,5,CNTN4,2.629085063934326,5.37051722450976e-06,biological,True,2
17th week post-fertilization stage,airway_top,6,SFTPB,1.1473699808120728,4.258349853401627e-05,biological,True,1
17th week post-fertilization stage,airway_top,7,GPC5,1.3608288764953613,4.7463776175360986e-05,biological,True,4
17th week post-fertilization stage,airway_top,8,ZFP36L1,1.404172420501709,0.00010579427463145681,biological,True,3
17th week post-fertilization stage,airway_top,9,CLIC6,2.16432523727417,0.00030385791129034374,biological,True,4
17th week post-fertilization stage,airway_top,10,DMD,1.5599123239517212,0.00031395862898864056,biological,True,4
17th week post-fertilization stage,airway_top,11,ALCAM,1.1746623516082764,0.0010701812741776917,biological,True,5
17th week post-fertilization stage,airway_top,12,NTN1,3.0156338214874268,0.002097315828767319,biological,True,5
17th week post-fertilization stage,airway_top,13,SPTBN1,1.1895663738250732,0.004093645357451655,biological,True,1
17th week post-fertilization stage,airway_top,14,ERBB4,1.6306095123291016,0.009429928819621701,biological,True,2
17th week post-fertilization stage,airway_top,15,ATP1B1,1.1915359497070312,0.014808659843242675,biological,True,1
17th week post-fertilization stage,airway_top,16,NEDD4L,1.0834707021713257,0.021534697159699145,biological,True,2
17th week post-fertilization stage,airway_top,17,BMP3,1.538467288017273,0.021534697159699145,biological,True,2
