cell_id,development_stage,cell_type,donor_id,assay,distal_tip_score,airway_score,alveolar_score,commitment_score,substrate,in_exiting_tip
14139,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,0.4803534734005831,-0.13314039866129557,0.9023026741972757,-1.0354430728585713,cao2020,False
14142,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,-0.3748756720095265,-0.12754624684651691,-0.2171121999758099,0.089565953129293,cao2020,True
14146,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.40224188687850027,-0.26435330708821614,1.976775805884545,-2.2411291129727613,cao2020,True
14147,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,-0.2690616140560228,-0.10427510579427084,0.4057532543436103,-0.5100283601378811,cao2020,True
14150,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,-0.8825675030143894,-0.2712323506673177,1.2032290981450213,-1.474461448812339,cao2020,True
14151,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,-0.3053841104312819,0.7821642549832661,-0.13466958387182393,0.9168338388550901,cao2020,True
14155,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,-0.620373939981266,0.8940320777893067,0.996526033506481,-0.10249395571717423,cao2020,True
14165,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,-0.3655660201092156,-0.11941823323567709,-0.25611726953348984,0.13669903629781277,cao2020,True
14166,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,1.5572806256158012,-0.1746759541829427,1.395260398541022,-1.5699363527239647,cao2020,False
14168,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,-0.2058672807654556,1.4549834140141804,-0.3116221996622348,1.7666056136764152,cao2020,True
14169,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,-0.37654491346709584,-0.23116111755371094,0.8183061748469642,-1.0494672924006752,cao2020,True
14170,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,-0.17057819755709902,-0.1393562698364258,1.2441603087503976,-1.3835165785868235,cao2020,True
14172,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27058,sci-RNA-seq3,-0.22705315570442045,1.5385919046401977,1.3067834880373894,0.23180841660280826,cao2020,True
14178,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,0.4747929633880148,-0.1711437733968099,0.4454179603025454,-0.6165617336993553,cao2020,False
14179,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.07190325795387735,0.0,2.26092546358021,-2.26092546358021,cao2020,False
14181,16th week post-fertilization stage,squamous epithelial cell,H27423,sci-RNA-seq3,-0.11547095435006278,-0.12550797780354817,-0.33367769433817734,0.20816971653462918,cao2020,False
14182,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.6037243823615872,-0.12701431274414063,0.46960063811835895,-0.5966149508624996,cao2020,True
14183,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.2813107237523916,1.515630914370219,0.6628525563336294,0.8527783580365895,cao2020,True
14186,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.04761848279408043,-0.23642232259114584,2.4100397617445077,-2.6464620843356537,cao2020,False
14187,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,-0.2742533391835738,-0.08958942413330079,0.5944198916811462,-0.6840093158144469,cao2020,True
14188,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.6380665837501993,0.6873200225830078,0.7514014178459798,-0.06408139526297196,cao2020,True
14189,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,0.07458587325349142,-0.28849146525065106,2.2763447345943626,-2.5648361998450135,cao2020,False
14190,16th week post-fertilization stage,squamous epithelial cell,H27423,sci-RNA-seq3,-0.2937824482820472,-0.19626365661621092,-0.10204318685269137,-0.09422046976351955,cao2020,True
