substrate,view,stage,airway_bin,alveolar_bin,n_cells,fraction_of_view
he2022,exiting_tip,18th week post-fertilization stage,0,2,12,0.015810276679841896
he2022,exiting_tip,18th week post-fertilization stage,0,3,62,0.08168642951251646
he2022,exiting_tip,18th week post-fertilization stage,0,4,48,0.06324110671936758
he2022,exiting_tip,18th week post-fertilization stage,1,0,2,0.002635046113306983
he2022,exiting_tip,18th week post-fertilization stage,1,1,1,0.0013175230566534915
he2022,exiting_tip,18th week post-fertilization stage,1,2,7,0.00922266139657444
he2022,exiting_tip,18th week post-fertilization stage,1,3,51,0.06719367588932806
he2022,exiting_tip,18th week post-fertilization stage,1,4,39,0.05138339920948617
he2022,exiting_tip,18th week post-fertilization stage,2,0,12,0.015810276679841896
he2022,exiting_tip,18th week post-fertilization stage,2,1,22,0.028985507246376812
he2022,exiting_tip,18th week post-fertilization stage,2,2,8,0.010540184453227932
he2022,exiting_tip,18th week post-fertilization stage,2,3,44,0.057971014492753624
he2022,exiting_tip,18th week post-fertilization stage,2,4,27,0.03557312252964427
he2022,exiting_tip,18th week post-fertilization stage,3,0,56,0.07378129117259552
he2022,exiting_tip,18th week post-fertilization stage,3,1,103,0.13570487483530963
he2022,exiting_tip,18th week post-fertilization stage,3,2,36,0.04743083003952569
he2022,exiting_tip,18th week post-fertilization stage,3,3,25,0.03293807641633729
he2022,exiting_tip,18th week post-fertilization stage,3,4,4,0.005270092226613966
he2022,exiting_tip,18th week post-fertilization stage,4,0,15,0.019762845849802372
he2022,exiting_tip,18th week post-fertilization stage,4,1,37,0.048748353096179184
he2022,exiting_tip,18th week post-fertilization stage,4,2,46,0.06060606060606061
he2022,exiting_tip,18th week post-fertilization stage,4,3,95,0.1251646903820817
he2022,exiting_tip,18th week post-fertilization stage,4,4,4,0.005270092226613966
he2022,all_epithelial,20th week post-fertilization stage,0,0,0,0.0
he2022,all_epithelial,20th week post-fertilization stage,0,1,2,0.002336448598130841
he2022,all_epithelial,20th week post-fertilization stage,0,2,1,0.0011682242990654205
he2022,all_epithelial,20th week post-fertilization stage,0,3,3,0.0035046728971962616
he2022,all_epithelial,20th week post-fertilization stage,0,4,58,0.06775700934579439
he2022,all_epithelial,20th week post-fertilization stage,1,0,0,0.0
he2022,all_epithelial,20th week post-fertilization stage,1,1,1,0.0011682242990654205
he2022,all_epithelial,20th week post-fertilization stage,1,2,2,0.002336448598130841
he2022,all_epithelial,20th week post-fertilization stage,1,3,3,0.0035046728971962616
he2022,all_epithelial,20th week post-fertilization stage,1,4,27,0.03154205607476635
he2022,all_epithelial,20th week post-fertilization stage,2,0,12,0.014018691588785047
he2022,all_epithelial,20th week post-fertilization stage,2,1,16,0.018691588785046728
he2022,all_epithelial,20th week post-fertilization stage,2,2,6,0.007009345794392523
he2022,all_epithelial,20th week post-fertilization stage,2,3,2,0.002336448598130841
he2022,all_epithelial,20th week post-fertilization stage,2,4,11,0.012850467289719626
he2022,all_epithelial,20th week post-fertilization stage,3,0,151,0.1764018691588785
he2022,all_epithelial,20th week post-fertilization stage,3,1,186,0.21728971962616822
he2022,all_epithelial,20th week post-fertilization stage,3,2,22,0.02570093457943925
he2022,all_epithelial,20th week post-fertilization stage,3,3,5,0.005841121495327103
he2022,all_epithelial,20th week post-fertilization stage,3,4,0,0.0
he2022,all_epithelial,20th week post-fertilization stage,4,0,80,0.09345794392523364
he2022,all_epithelial,20th week post-fertilization stage,4,1,167,0.19509345794392524
he2022,all_epithelial,20th week post-fertilization stage,4,2,57,0.06658878504672897
he2022,all_epithelial,20th week post-fertilization stage,4,3,43,0.05023364485981308
he2022,all_epithelial,20th week post-fertilization stage,4,4,1,0.0011682242990654205
he2022,exiting_tip,20th week post-fertilization stage,0,0,0,0.0
he2022,exiting_tip,20th week post-fertilization stage,0,1,1,0.001288659793814433
he2022,exiting_tip,20th week post-fertilization stage,0,2,1,0.001288659793814433
he2022,exiting_tip,20th week post-fertilization stage,0,3,1,0.001288659793814433
he2022,exiting_tip,20th week post-fertilization stage,0,4,17,0.02190721649484536
he2022,exiting_tip,20th week post-fertilization stage,1,0,0,0.0
he2022,exiting_tip,20th week post-fertilization stage,1,1,1,0.001288659793814433
he2022,exiting_tip,20th week post-fertilization stage,1,2,2,0.002577319587628866
he2022,exiting_tip,20th week post-fertilization stage,1,3,2,0.002577319587628866
he2022,exiting_tip,20th week post-fertilization stage,1,4,7,0.00902061855670103
he2022,exiting_tip,20th week post-fertilization stage,2,0,12,0.015463917525773196
he2022,exiting_tip,20th week post-fertilization stage,2,1,16,0.020618556701030927
he2022,exiting_tip,20th week post-fertilization stage,2,2,5,0.006443298969072165
he2022,exiting_tip,20th week post-fertilization stage,2,3,0,0.0
he2022,exiting_tip,20th week post-fertilization stage,2,4,4,0.005154639175257732
he2022,exiting_tip,20th week post-fertilization stage,3,0,151,0.19458762886597938
he2022,exiting_tip,20th week post-fertilization stage,3,1,186,0.23969072164948454
he2022,exiting_tip,20th week post-fertilization stage,3,2,22,0.028350515463917526
he2022,exiting_tip,20th week post-fertilization stage,3,3,4,0.005154639175257732
he2022,exiting_tip,20th week post-fertilization stage,3,4,0,0.0
he2022,exiting_tip,20th week post-fertilization stage,4,0,80,0.10309278350515463
he2022,exiting_tip,20th week post-fertilization stage,4,1,166,0.21391752577319587
he2022,exiting_tip,20th week post-fertilization stage,4,2,56,0.07216494845360824
he2022,exiting_tip,20th week post-fertilization stage,4,3,42,0.05412371134020619
he2022,exiting_tip,20th week post-fertilization stage,4,4,0,0.0
he2022,all_epithelial,22nd week post-fertilization stage,0,0,1,0.0009208103130755065
he2022,all_epithelial,22nd week post-fertilization stage,0,1,0,0.0
he2022,all_epithelial,22nd week post-fertilization stage,0,2,3,0.0027624309392265192
he2022,all_epithelial,22nd week post-fertilization stage,0,3,47,0.0432780847145488
he2022,all_epithelial,22nd week post-fertilization stage,0,4,251,0.2311233885819521
he2022,all_epithelial,22nd week post-fertilization stage,1,0,4,0.003683241252302026
he2022,all_epithelial,22nd week post-fertilization stage,1,1,3,0.0027624309392265192
he2022,all_epithelial,22nd week post-fertilization stage,1,2,7,0.006445672191528545
he2022,all_epithelial,22nd week post-fertilization stage,1,3,23,0.02117863720073665
he2022,all_epithelial,22nd week post-fertilization stage,1,4,127,0.11694290976058933
he2022,all_epithelial,22nd week post-fertilization stage,2,0,9,0.008287292817679558
